Name,Team,Pos,GP,G,A,P,PlusMinus,PIM,PPg,PPa,PPp,SHg,SHa,SHp,GWG,GT,FG,EN,SOG,Sh,HT,GA,TA,FO,SB,2,5,Mi,Ma,GM,FI,FW,ATOI,APPT,APKT,+,-,FS,AvR,
Jake Guentzel,Pittsburgh,RW/LW/C,82,67,62,129,75,8,9,10,19,0,0,0,9,0,12,0,447,15.0,64,8,17,0.50,28,4,0,0,0,0,0,0,21:21,3:13,0:08,133,58,15,8.63,
Sidney Crosby,Pittsburgh,C,74,28,84,112,63,11,9,16,25,0,1,1,6,0,8,0,233,12.0,75,17,106,0.54,49,3,1,0,0,0,1,1,22:50,3:09,1:42,121,58,3,8.03,
Evgeny Kuznetsov,Washington,C,82,52,55,107,41,16,11,17,28,2,0,2,9,0,9,0,206,25.2,124,15,58,0.54,54,8,0,0,0,0,0,0,17:40,2:44,1:42,100,59,11,7.93,
Viktor Arvidsson,Nashville,RW/LW,81,55,50,105,42,0,9,8,17,0,0,0,3,2,10,0,352,15.6,46,14,50,0.00,24,0,0,0,0,0,0,0,17:49,2:55,0:11,101,59,10,8.10,
Evgeny Dadonov,Florida,RW/LW,78,49,55,104,32,4,12,9,21,0,0,0,8,1,7,0,339,14.5,35,23,22,0.00,20,2,0,0,0,0,0,0,16:46,3:11,0:03,98,66,10,8.12,
Jonathan Huberdeau,Florida,LW,82,47,56,103,42,6,8,9,17,0,0,0,4,1,6,0,245,19.2,62,13,67,0.00,30,3,0,0,0,0,0,0,17:10,1:30,0:46,115,73,8,8.22,
Jack Eichel,Buffalo,C,82,45,58,103,46,8,9,17,26,1,1,2,8,0,7,0,310,14.5,69,9,49,0.48,73,4,0,0,0,0,0,0,18:09,2:50,1:09,104,58,10,7.62,
Ryan Johansen,Nashville,C,81,30,73,103,26,12,11,17,28,0,0,0,7,0,2,0,203,14.8,79,13,76,0.53,61,6,0,0,0,0,0,0,17:55,2:52,1:03,97,71,3,7.74,
Filip Forsberg,Nashville,LW/RW,82,50,52,102,21,8,10,17,27,0,0,0,8,0,10,0,340,14.7,121,19,125,0.13,41,4,0,0,0,0,0,0,18:24,2:56,1:04,100,79,14,8.18,
Patrick Kane,Chicago,RW,68,46,55,101,48,2,8,12,20,0,0,0,5,0,6,0,337,13.6,33,4,50,0.00,23,1,0,0,0,0,0,0,17:59,3:20,0:34,96,48,10,8.56,
Ilya Kovalchuk,Chicago,LW,82,43,58,101,35,10,9,14,23,0,0,0,8,1,7,0,362,11.9,114,17,21,0.00,36,5,0,0,0,0,0,0,17:24,3:16,0:00,109,74,7,8.10,
Connor McDavid,Edmonton,C,76,49,51,100,28,2,6,10,16,0,2,2,7,0,7,0,355,13.8,51,16,139,0.46,53,1,0,0,0,0,0,0,19:56,2:51,0:43,97,69,5,7.82,
Nikita Kucherov,Tampa Bay,RW,82,46,54,100,46,18,8,10,18,0,0,0,6,1,8,0,318,14.5,94,10,20,0.13,31,9,0,0,0,0,0,0,17:08,2:56,0:56,107,61,12,8.21,
Auston Matthews,Toronto,C,78,43,56,99,42,38,11,15,26,2,0,2,8,0,5,0,305,14.1,219,11,40,0.55,41,19,0,0,0,0,0,0,18:45,3:21,1:19,96,54,9,8.21,
Vladimir Tarasenko,St. Louis,RW,82,48,49,97,34,2,8,10,18,1,0,1,6,1,10,0,407,11.8,145,19,46,0.12,73,1,0,0,0,0,0,0,17:09,2:00,1:52,96,62,12,8.30,
