Name,Team,Pos,GP,G,A,P,+/-,PIM,PPg,PPa,PPp,SHg,SHa,SHp,GWG,GT,FG,EN,SOG,Sh ,HT,GA,TA,FO,SB,2,5,Mi,Ma,GM,FI,FW,ATOI,APPT,APKT,+,-,FS,Av R,
Tyler Seguin,Tampa Bay,C/RW,82,44,77,121,45,60,7,6,13,1,0,1,6,0,4,0,279,15.8,30,11,63,0.56,50,30,0,0,0,0,0,0,16:43,1:05,1:26,136,91,6,7.94,
Nathan MacKinnon,Colorado,C,82,46,71,117,68,10,9,12,21,0,0,0,10,0,6,0,287,16.0,33,12,62,0.54,43,5,0,0,0,0,0,0,16:46,1:52,0:40,121,53,7,8.24,
Jack Eichel,Buffalo,C,82,54,62,116,64,4,9,7,16,0,0,0,5,0,10,0,342,15.8,25,10,78,0.49,78,2,0,0,0,0,0,0,17:05,2:06,0:51,135,71,5,8.00,
Alexis Lafrenière,Vancouver,LW/C,82,46,65,111,49,0,7,19,26,0,0,0,8,1,8,0,436,10.6,34,20,62,0.15,56,0,0,0,0,0,0,0,16:48,1:48,1:02,108,59,12,8.34,
Martin Necas,Buffalo,RW/C,82,45,64,109,59,10,7,2,9,0,0,0,10,0,10,0,340,13.2,18,7,39,0,44,5,0,0,0,0,0,0,15:54,1:19,0:02,136,77,16,8.45,
Mikko Rantanen,Colorado,RW,82,43,66,109,73,0,4,8,12,0,0,0,6,0,4,0,357,12.0,54,9,102,0.10,49,0,0,0,0,0,0,0,16:50,1:52,0:57,122,49,10,8.65,
Connor McClennon,Tampa Bay,RW,81,55,53,108,45,2,4,4,8,0,1,1,6,1,5,0,367,15.0,38,18,49,0.00,50,1,0,0,0,0,0,0,16:33,1:05,1:03,132,87,10,8.09,
Teuvo Teräväinen,Chicago,C/LW,82,31,77,108,31,0,5,17,22,0,1,1,6,0,3,0,204,15.2,12,14,69,0.54,41,0,0,0,0,0,0,0,17:31,2:05,0:45,128,97,2,7.80,
Gabriel Landeskog,Colorado,LW,82,46,60,106,76,2,8,4,12,0,0,0,4,1,6,0,376,12.2,38,9,98,0,55,1,0,0,0,0,0,0,16:30,1:23,0:54,131,55,10,8.52,
Nick Schmaltz,Arizona,C,82,34,72,106,29,8,5,13,18,0,0,0,4,0,6,0,199,17.1,21,17,96,0.60,47,4,0,0,0,0,0,0,17:31,1:48,1:03,113,84,7,7.91,
Vladimir Tarasenko,St. Louis,RW,76,50,54,104,48,8,8,5,13,0,0,0,5,0,6,0,379,13.2,26,15,86,0.10,55,4,0,0,0,0,0,0,16:32,1:44,0:51,109,61,13,8.29,
Mark Stone,Edmonton,RW,82,38,66,104,35,4,4,7,11,0,1,1,4,0,3,0,278,13.7,35,21,191,0.00,53,2,0,0,0,0,0,0,18:00,1:48,1:00,124,89,10,8.20,
Elias Pettersson,Washington,C/RW,79,48,54,102,41,10,6,6,12,1,1,2,6,0,7,0,283,17.0,25,15,99,0.47,35,5,0,0,0,0,0,0,16:52,1:41,0:30,119,78,2,7.68,
Connor McDavid,Edmonton,C,77,45,57,102,25,4,5,5,10,2,0,2,6,0,9,0,281,16.0,20,18,121,0.51,50,2,0,0,0,0,0,0,18:09,1:48,1:14,122,97,1,7.88,
Auston Matthews,Toronto,C,81,41,61,102,39,2,4,10,14,2,1,3,5,0,7,0,328,12.5,25,16,106,0.55,40,1,0,0,0,0,0,0,17:38,1:46,1:13,112,73,8,7.88,
Dylan Cozens,St. Louis,C,82,39,62,101,36,16,10,9,19,0,1,1,7,0,5,0,244,16.0,39,19,150,0.60,78,8,0,0,0,0,0,0,17:10,1:40,1:25,115,79,7,7.60,
Dylan Larkin,Washington,C,82,34,67,101,32,16,5,7,12,2,0,2,4,0,3,0,227,15.0,39,12,120,0.55,60,3,0,1,0,0,0,0,17:29,1:59,0:56,112,80,9,7.90,
Anthony Mantha,Detroit,RW/LW,82,55,44,99,23,8,10,2,12,1,0,1,1,1,6,0,421,13.1,70,25,91,0.11,39,4,0,0,0,0,0,0,17:25,2:02,1:21,109,86,7,8.02,
Taylor Hall,Tampa Bay,LW,73,50,48,98,28,10,4,11,15,1,0,1,6,0,8,0,365,13.7,25,16,69,0.14,42,5,0,0,0,0,0,0,17:20,1:56,0:30,120,92,10,8.40,
Lucas Raymond,NY Islanders,RW/LW,82,49,49,98,33,6,10,3,13,0,0,0,6,1,6,0,432,11.3,18,12,19,0,37,3,0,0,0,0,0,0,15:37,1:29,0:00,110,77,13,8.17,
Josh Lawrence,Tampa Bay,RW/C,82,47,50,97,41,8,8,2,10,0,0,0,7,0,8,0,343,13.7,12,6,11,0,11,4,0,0,0,0,0,0,15:08,1:00,0:00,133,92,4,7.89,
Bo Horvat,Vancouver,C,78,43,54,97,42,6,18,6,24,0,0,0,3,1,10,0,213,20.2,41,20,95,0.59,71,3,0,0,0,0,0,0,17:13,1:50,1:01,104,62,7,7.60,
Evgeny Kuznetsov,Edmonton,C,82,36,61,97,20,6,4,4,8,0,0,0,3,0,5,0,282,12.8,20,11,92,0.56,38,3,0,0,0,0,0,0,16:58,1:05,0:07,113,93,11,8.18,
David Pastrnák,Washington,RW,82,49,47,96,30,4,5,9,14,1,1,2,7,1,5,0,400,12.3,38,12,45,0.13,24,2,0,0,0,0,0,0,17:03,1:58,0:34,116,86,5,8.05,
André Burakovsky,Buffalo,LW/RW,82,43,53,96,60,8,2,6,8,0,0,0,4,1,4,0,260,16.5,17,14,10,0,19,4,0,0,0,0,0,0,16:14,1:22,0:01,127,67,8,8.06,
Max Domi,Montreal,C/LW,82,33,63,96,24,26,6,7,13,0,0,0,4,0,3,0,245,13.5,35,7,66,0.52,48,13,0,0,0,0,0,0,16:14,1:36,0:17,105,81,7,7.79,
Mitch Marner,Toronto,RW,82,40,54,94,33,10,11,7,18,0,1,1,6,0,9,0,331,12.1,49,9,14,0.04,40,5,0,0,0,0,0,0,16:46,1:43,0:27,103,70,4,8.22,
Ryan Dzingel,Philadelphia,LW/RW,82,47,46,93,-1,8,4,3,7,0,0,0,6,1,7,0,289,16.3,43,29,39,0.08,31,4,0,0,0,0,0,0,19:00,0:55,0:10,107,108,11,7.56,
Vasili Podkolzin,Chicago,RW,75,45,48,93,29,4,8,2,10,0,0,0,5,0,8,0,417,10.8,28,20,132,0.09,27,2,0,0,0,0,0,0,17:38,2:06,0:30,118,89,6,7.93,
Nikita Kucherov,Buffalo,RW,79,42,51,93,61,4,5,5,10,0,0,0,2,1,4,0,301,14.0,23,10,67,0.20,42,2,0,0,0,0,0,0,17:21,1:47,0:36,117,56,8,8.29,
Ryan Nugent-Hopkins,Detroit,C/LW,82,39,54,93,15,8,6,6,12,1,0,1,3,1,6,0,212,18.4,22,6,93,0.47,78,4,0,0,0,0,0,0,17:51,2:04,1:16,120,105,2,7.32,
Sebastian Aho,Carolina,C/LW/RW,69,37,56,93,33,0,5,7,12,0,0,0,4,0,1,0,167,22.2,11,15,63,0.52,68,0,0,0,0,0,0,0,18:19,1:46,1:38,98,65,8,7.68,
Michael McLeod,Dallas,C,82,35,57,92,40,19,5,9,14,0,0,0,5,2,5,0,200,17.5,24,13,50,0.55,59,7,1,0,0,0,1,0,17:12,1:53,0:48,104,64,3,7.33,
Mathew Barzal,NY Islanders,C,71,29,62,91,24,8,2,10,12,2,0,2,2,0,5,0,200,14.5,25,11,73,0.53,59,4,0,0,0,0,0,0,16:49,1:32,0:51,100,76,4,7.75,
Rasmus Dahlin,Buffalo,LD,82,24,67,91,55,28,2,13,15,0,1,1,7,0,2,0,320,7.5,25,27,155,0,132,9,0,1,0,0,0,0,26:39,2:11,0:46,177,122,6,8.38,
Nick Suzuki,Montreal,C,82,40,50,90,20,6,6,2,8,0,0,0,6,1,3,0,298,13.4,25,15,21,0.50,42,3,0,0,0,0,0,0,16:04,1:24,0:10,105,85,5,7.94,
Nicklas Bäckström,San Jose,C,82,24,66,90,35,6,0,13,13,0,0,0,5,2,4,0,145,16.6,40,13,78,0.57,35,3,0,0,0,0,0,0,16:51,1:56,0:51,107,72,5,7.59,
Mark Scheifele,Winnipeg,C/LW,82,33,56,89,41,10,4,6,10,1,0,1,3,1,5,0,168,19.6,70,17,99,0.60,93,5,0,0,0,0,0,0,16:54,1:21,1:52,99,58,3,7.77,
Jack Hughes,New Jersey,C,82,29,60,89,49,2,2,3,5,1,2,3,4,0,3,0,150,19.3,21,14,108,0.49,43,1,0,0,0,0,0,0,15:40,1:09,0:31,114,65,3,7.52,
Ryan O'Reilly,Pittsburgh,C,80,29,60,89,23,6,2,5,7,0,1,1,4,0,4,0,176,16.5,94,16,58,0.57,60,3,0,0,0,0,0,0,17:34,0:52,1:48,115,92,2,7.81,
Oliver Wahlstrom,Pittsburgh,RW/LW,72,48,40,88,28,14,4,2,6,0,0,0,2,1,6,0,363,13.2,100,14,25,0.17,36,7,0,0,0,0,0,0,16:57,1:31,0:17,104,76,8,8.17,
Pierre-Luc Dubois,Columbus,C/LW,75,28,60,88,42,12,3,8,11,0,0,0,3,0,5,0,201,13.9,34,14,71,0.52,23,6,0,0,0,0,0,0,16:41,1:29,0:54,98,56,2,7.57,
Jake Guentzel,Pittsburgh,RW/LW/C,82,44,43,87,17,2,3,3,6,0,0,0,6,1,3,0,389,11.3,83,20,12,0.18,31,1,0,0,0,0,0,0,16:43,0:54,0:18,112,95,6,8.01,
Andrei Svechnikov,Detroit,RW,82,33,54,87,1,10,7,3,10,1,2,3,5,0,5,0,234,14.1,54,18,70,0,34,5,0,0,0,0,0,0,16:52,1:01,1:04,97,96,0,7.55,
Brayden Point,Washington,C,82,30,57,87,12,4,5,8,13,1,0,1,4,2,5,0,275,10.9,25,16,45,0.57,38,2,0,0,0,0,0,0,17:15,1:52,0:40,100,88,5,7.87,
Alexander Holtz,Carolina,RW/LW,73,44,42,86,37,6,7,5,12,0,0,0,7,0,7,0,385,11.4,21,15,15,0.11,29,3,0,0,0,0,0,0,17:15,1:49,0:10,106,69,9,7.96,
Brandon Saad,NY Islanders,LW,82,35,51,86,35,4,3,8,11,0,1,1,2,0,8,0,299,11.7,51,19,44,0.12,38,2,0,0,0,0,0,0,16:55,1:32,1:13,108,73,5,7.95,
Aleksander Barkov,Florida,C,78,31,55,86,40,4,1,6,7,0,0,0,3,0,2,0,214,14.5,32,19,97,0.50,73,2,0,0,0,0,0,0,16:52,1:10,1:10,92,52,7,7.51,
Jake Neighbours,New Jersey,LW,82,42,43,85,52,2,5,1,6,0,0,0,5,1,4,0,250,16.8,27,22,130,0,53,1,0,0,0,0,0,0,15:38,0:56,1:05,118,66,5,7.63,
Björn Manzizila,Buffalo,C,77,28,57,85,62,2,1,4,5,0,0,0,3,0,3,0,179,15.6,30,8,17,0.54,58,1,0,0,0,0,0,0,16:08,1:01,0:00,115,53,2,7.48,
Malik Alishlalov,New Jersey,RD/LD/RW,82,39,45,84,50,10,3,5,8,0,0,0,5,1,5,0,285,13.7,20,16,34,0,47,5,0,0,0,0,0,0,17:07,1:19,0:10,116,66,14,7.94,
Brock Boeser,Washington,RW,82,36,48,84,17,6,2,8,10,0,2,2,3,0,3,0,308,11.7,33,12,17,0,29,3,0,0,0,0,0,0,17:16,1:50,0:55,105,88,4,7.85,
Filip Forsberg,Winnipeg,LW/RW,82,35,49,84,42,8,4,6,10,0,1,1,4,0,5,0,302,11.6,69,20,165,0.00,57,4,0,0,0,0,0,0,16:49,1:06,1:29,111,69,3,8.01,
Leon Draisaitl,Arizona,LW/C/RW,79,34,50,84,41,8,6,2,8,1,0,1,3,0,3,0,237,14.3,44,14,78,0.21,55,4,0,0,0,0,0,0,17:12,1:20,0:58,108,67,6,7.99,
Jack Roslovic,Winnipeg,RW/C,82,33,51,84,38,16,0,9,9,0,0,0,5,0,3,0,208,15.9,29,16,84,0.10,57,8,0,0,0,0,0,0,16:50,1:29,1:06,102,64,11,7.85,
Owen Tippett,Florida,RW/LW,81,48,35,83,45,18,10,2,12,0,0,0,11,0,7,0,305,15.7,36,21,33,0.00,40,9,0,0,0,0,0,0,16:22,0:58,0:03,99,54,7,7.81,
John Tavares,Dallas,C,82,39,44,83,-8,9,6,5,11,0,1,1,2,2,6,0,223,17.5,21,16,94,0.54,67,2,1,0,0,0,1,1,18:01,1:01,1:05,90,98,3,7.10,
Mac Reagan,Dallas,LW,82,37,46,83,49,0,0,0,0,2,0,2,4,2,7,0,316,11.7,16,17,77,0.33,51,0,0,0,0,0,0,0,15:28,0:01,1:15,111,62,11,7.87,
Tyson Barrie,Toronto,RD,82,31,52,83,29,4,2,7,9,0,1,1,4,0,5,0,300,10.3,87,14,30,0.00,50,2,0,0,0,0,0,0,17:40,1:53,1:10,106,77,6,8.15,
Tomás Hertl,Dallas,C/LW,84,25,58,83,43,10,1,4,5,0,1,1,5,0,4,0,233,10.7,25,11,73,0.62,53,5,0,0,0,0,0,0,16:04,0:55,0:57,108,65,2,7.70,
Sonny Milano,Columbus,LW/RW,79,36,46,82,31,4,2,8,10,0,0,0,5,3,6,0,212,17.0,11,19,12,0,32,2,0,0,0,0,0,0,15:38,1:20,0:01,94,63,6,7.77,
