Name,Team,Pos,GP,G,A,P,PlusMinus,PIM,PPg,PPa,PPp,SHg,SHa,SHp,GWG,GT,FG,EN,SOG,Sh,HT,GA,TA,FO,SB,2,5,Mi,Ma,GM,FI,FW,ATOI,APPT,APKT,+,-,FS,AvR,
Jack Eichel,Buffalo,C,82,63,79,142,73,6,11,9,20,0,0,0,7,1,10,0,354,17.8,25,9,66,0.52,69,3,0,0,0,0,0,0,17:29,2:02,1:01,141,68,10,8.23,
Jake Guentzel,Pittsburgh,RW/LW/C,82,62,61,123,44,14,14,4,18,0,0,0,5,2,12,0,530,11.7,74,27,13,0.33,43,7,0,0,0,0,0,0,20:33,2:45,0:04,118,74,10,8.40,
Nathan MacKinnon,Colorado,C,82,45,63,108,50,8,8,13,21,0,0,0,6,0,7,0,241,18.7,45,9,71,0.52,63,4,0,0,0,0,0,0,17:32,2:48,0:50,110,60,10,7.99,
Vladimir Tarasenko,St. Louis,RW,82,54,53,107,56,10,11,7,18,1,0,1,10,0,9,0,489,11.0,59,12,61,0.06,42,5,0,0,0,0,0,0,17:16,2:30,0:48,118,62,10,8.37,
Patrick Kane,Chicago,RW,82,53,54,107,38,10,8,10,18,1,0,1,7,0,7,0,419,12.6,28,15,54,0.08,29,5,0,0,0,0,0,0,17:40,2:31,0:28,114,76,11,8.23,
Steven Stamkos,Tampa Bay,C,82,40,65,105,76,22,3,9,12,3,0,3,6,0,9,0,257,15.6,85,23,41,0.54,48,11,0,0,0,0,0,0,17:51,1:45,2:35,123,47,13,8.13,
Evgeny Kuznetsov,Washington,C,82,48,56,104,27,10,11,9,20,2,1,3,3,0,5,0,212,22.6,66,18,101,0.53,54,5,0,0,0,0,0,0,18:23,2:05,1:43,103,76,9,7.66,
Tomás Tatár,Montreal,LW/RW,82,49,54,103,39,8,2,7,9,0,0,0,7,0,5,0,361,13.6,31,8,20,0,42,4,0,0,0,0,0,0,14:56,1:09,0:05,118,79,9,8.16,
Brandon Montour,Pittsburgh,RD,82,31,69,100,36,10,3,12,15,0,0,0,4,0,2,0,319,9.7,58,13,100,0,84,5,0,0,0,0,0,0,19:46,2:46,1:12,110,74,6,8.26,
Dylan Larkin,Detroit,C,69,41,58,99,49,10,7,7,14,0,0,0,6,0,2,0,205,20.0,51,11,65,0.55,38,5,0,0,0,0,0,0,17:31,2:45,1:05,104,55,7,8.03,
Mikael Granlund,Minnesota,C/RW,82,32,67,99,22,6,8,14,22,0,0,0,3,0,3,0,170,18.8,34,14,69,0.61,51,3,0,0,0,0,0,0,17:05,1:43,1:25,103,81,7,7.68,
Sebastian Aho,Carolina,C/LW/RW,82,46,51,97,21,12,10,14,24,0,1,1,9,1,5,0,194,23.7,30,21,67,0.51,61,6,0,0,0,0,0,0,18:33,2:08,1:42,97,76,6,7.57,
Taylor Hall,St. Louis,LW,83,35,62,97,25,18,8,16,24,2,0,2,4,1,6,0,299,11.7,62,10,94,0.00,41,9,0,0,0,0,0,0,17:14,2:21,0:55,99,74,10,8.20,
Andreas Athanasiou,St. Louis,C/LW/RW,82,43,53,96,50,4,4,6,10,0,0,0,6,1,5,0,252,17.1,24,6,45,0.49,36,2,0,0,0,0,0,0,15:11,1:12,0:00,112,62,6,7.66,
Kailer Yamamoto,Chicago,RW/LW,82,47,48,95,36,16,9,11,20,0,0,0,6,0,4,0,279,16.8,38,9,4,0,30,3,0,1,0,0,0,0,17:10,2:29,0:00,108,72,6,7.94,
Connor McDavid,Edmonton,C,82,46,49,95,49,16,7,8,15,0,0,0,11,0,11,0,306,15.0,39,14,120,0.49,96,8,0,0,0,0,0,0,18:52,1:57,1:06,110,61,6,7.70,
Max Domi,Montreal,C/LW,82,37,58,95,19,14,7,13,20,0,0,0,8,0,7,0,194,19.1,36,14,38,0.45,32,7,0,0,0,0,0,0,16:13,2:25,0:02,95,76,3,7.32,
Alexander Radulov,Dallas,RW,75,37,58,95,37,36,11,10,21,0,0,0,4,1,5,0,263,14.1,83,28,14,0,40,13,0,1,0,0,0,0,17:20,2:18,1:31,93,56,9,8.00,
John Tavares,Toronto,C,82,38,56,94,51,16,2,7,9,3,0,3,4,1,4,0,330,11.5,132,25,31,0.57,68,8,0,0,0,0,0,0,18:28,2:24,1:21,116,65,5,8.22,
Leon Draisaitl,Edmonton,LW/C/RW,81,41,52,93,47,8,7,3,10,0,0,0,4,0,8,0,309,13.3,58,17,49,0.26,76,4,0,0,0,0,0,0,18:08,1:53,0:37,110,63,8,8.09,
Kaapo Kakko,NY Rangers,RW,82,44,48,92,37,2,8,1,9,0,0,0,6,1,7,0,347,12.7,46,20,6,0,34,1,0,0,0,0,0,0,15:44,2:08,0:07,104,67,7,7.78,
Mark Scheifele,Winnipeg,C,77,28,64,92,24,22,0,11,11,2,0,2,5,0,5,0,154,18.2,102,22,45,0.56,52,11,0,0,0,0,0,0,17:34,1:27,1:58,102,78,9,7.71,
Tyler Johnson,Tampa Bay,RW/C,82,47,44,91,66,8,5,6,11,0,0,0,6,0,5,0,309,15.2,67,19,11,0.29,48,4,0,0,0,0,0,0,17:31,1:49,1:59,113,47,6,7.91,
Filip Forsberg,Nashville,LW/RW,82,34,57,91,25,32,8,7,15,0,0,0,7,1,9,0,298,11.4,128,25,88,0.17,54,16,0,0,0,0,0,0,17:49,1:43,2:28,99,74,10,7.99,
Artemi Panarin,NY Rangers,LW,82,45,45,90,44,4,4,4,8,0,0,0,5,1,4,0,258,17.4,35,12,24,0.09,46,2,0,0,0,0,0,0,16:06,2:08,0:27,108,64,8,8.05,
Ryan O'Reilly,St. Louis,C,78,39,51,90,54,0,9,8,17,0,1,1,5,1,5,0,213,18.3,56,18,106,0.63,36,0,0,0,0,0,0,0,17:19,2:31,1:03,105,51,6,7.83,
Anthony Mantha,Detroit,RW/LW,76,41,48,89,22,4,7,6,13,0,0,0,3,2,7,0,411,10.0,96,21,65,0.00,58,2,0,0,0,0,0,0,17:29,2:37,1:02,100,78,7,8.01,
Sidney Crosby,Pittsburgh,C,82,34,55,89,41,24,6,8,14,2,0,2,4,0,5,0,204,16.7,99,28,102,0.57,71,12,0,0,0,0,0,0,20:59,2:46,2:01,115,74,5,7.78,
Max Pacioretty,Vegas,LW,82,33,56,89,13,28,1,12,13,1,0,1,4,0,2,0,277,11.9,111,26,87,0.14,66,14,0,0,0,0,0,0,18:45,1:41,1:59,95,82,10,7.71,
Alex DeBrincat,Chicago,RW/LW,82,46,42,88,22,2,4,3,7,0,0,0,9,2,8,0,308,14.9,17,11,9,0.00,29,1,0,0,0,0,0,0,16:57,1:18,0:05,95,73,9,8.11,
Jonathan Drouin,Montreal,LW,82,46,42,88,9,4,3,9,12,1,0,1,6,0,5,0,236,19.5,41,7,13,0.15,62,2,0,0,0,0,0,0,16:09,2:24,0:21,102,93,10,8.06,
Nikita Kucherov,Tampa Bay,RW,82,42,46,88,38,12,10,6,16,0,1,1,9,0,4,0,325,12.9,101,11,19,0.11,58,6,0,0,0,0,0,0,18:16,1:47,2:32,93,55,8,8.02,
Mikko Rantanen,Colorado,RW,82,39,49,88,37,6,6,8,14,0,1,1,6,0,2,0,272,14.3,70,17,89,0.17,48,3,0,0,0,0,0,0,16:15,1:39,0:30,92,55,9,8.26,
Brock Boeser,Vancouver,RW,82,44,43,87,33,4,9,6,15,0,0,0,3,1,5,0,304,14.5,35,8,17,0.11,30,2,0,0,0,0,0,0,16:04,2:16,0:03,99,66,4,8.05,
Kasperi Kapanen,Toronto,RW/LW,82,41,45,86,43,4,4,5,9,2,1,3,7,0,6,0,378,10.8,104,22,9,0,24,2,0,0,0,0,0,0,17:07,1:10,1:05,104,61,10,8.09,
Rickard Rakell,Colorado,LW/C/RW,82,35,51,86,39,0,9,7,16,0,0,0,4,0,7,0,312,11.2,61,18,63,0.10,38,0,0,0,0,0,0,0,16:48,2:33,0:24,100,61,3,7.89,
Evgeny Dadonov,Buffalo,RW/LW,78,44,41,85,33,8,11,9,20,0,0,0,8,0,6,0,426,10.3,26,14,30,0.00,50,4,0,0,0,0,0,0,16:23,1:57,0:03,98,65,8,8.12,
T.J. Oshie,Washington,RW,82,39,46,85,25,2,6,4,10,0,1,1,4,1,6,0,234,16.7,48,20,116,0.18,69,1,0,0,0,0,0,0,17:47,2:03,1:37,104,79,8,7.67,
Gabriel Landeskog,Colorado,LW,82,43,41,84,46,10,9,2,11,1,0,1,6,0,4,0,350,12.3,88,21,114,1.00,53,5,0,0,0,0,0,0,16:45,1:45,1:03,99,53,8,8.16,
Pontus Åberg,San Jose,LW/RW,82,42,42,84,38,6,3,3,6,0,0,0,6,0,4,0,354,11.9,25,16,8,0.00,39,3,0,0,0,0,0,0,15:00,1:30,0:01,105,67,6,7.84,
Yanni Gourde,Tampa Bay,LW/RW/C,78,35,49,84,62,14,3,7,10,1,0,1,6,1,3,0,206,17.0,60,9,4,0.33,37,7,0,0,0,0,0,0,15:49,1:46,0:27,113,51,6,8.09,
Kevin Labanc,San Jose,RW/LW,82,34,50,84,38,4,3,4,7,2,0,2,2,0,4,0,277,12.3,28,15,23,0.26,41,2,0,0,0,0,0,0,16:35,1:21,0:30,101,63,7,8.04,
Sam Reinhart,Buffalo,C/RW,79,32,52,84,51,4,0,3,3,0,0,0,2,0,5,0,228,14.0,22,18,89,0.48,62,2,0,0,0,0,0,0,16:42,0:48,1:08,118,67,4,7.77,
Viktor Arvidsson,Nashville,RW/LW,77,43,40,83,22,16,4,7,11,0,0,0,4,2,6,0,274,15.7,62,18,32,0.00,65,8,0,0,0,0,0,0,17:28,1:45,2:09,89,67,7,7.97,
Jonathan Huberdeau,Florida,LW,81,41,42,83,-11,14,6,7,13,1,1,2,4,1,3,0,255,16.1,44,17,67,0.00,45,7,0,0,0,0,0,0,18:08,2:00,1:04,81,92,5,7.85,
Nikita Gusev,Philadelphia,LW,81,35,48,83,2,4,4,10,14,0,0,0,3,0,5,0,273,12.8,34,10,7,0.12,20,2,0,0,0,0,0,0,16:48,2:20,0:01,80,78,9,7.95,
Jakub Vorácek,Philadelphia,RW,82,32,51,83,4,16,4,7,11,1,0,1,6,2,2,0,262,12.2,139,32,14,0.17,33,8,0,0,0,0,0,0,17:24,2:32,0:44,85,81,6,7.84,
Jaden Schwartz,St. Louis,LW,76,28,55,83,48,8,3,8,11,0,0,0,4,0,1,0,207,13.5,25,8,48,0.13,42,4,0,0,0,0,0,0,15:22,1:30,0:11,97,49,6,8.07,
Tyler Seguin,Dallas,C/RW,71,41,41,82,33,30,8,9,17,1,0,1,4,0,1,0,212,19.3,59,19,53,0.60,75,15,0,0,0,0,0,0,17:32,2:16,1:49,89,56,3,7.96,
Kyle Connor,Winnipeg,LW,82,39,43,82,7,16,8,9,17,0,1,1,3,2,6,0,285,13.7,17,14,47,0.16,25,8,0,0,0,0,0,0,15:38,1:26,0:20,75,68,6,7.82,
Zach Parise,Minnesota,LW/RW,79,35,47,82,31,2,7,6,13,0,0,0,5,0,3,0,293,11.9,32,12,31,0.33,40,1,0,0,0,0,0,0,15:43,1:34,0:03,105,74,6,7.82,
Mitch Marner,Toronto,RW,82,32,50,82,47,10,8,3,11,0,0,0,6,0,5,0,361,8.9,74,12,9,0.19,16,5,0,0,0,0,0,0,17:23,2:21,0:14,103,56,6,8.26,
Nikolaj Ehlers,Carolina,RW/LW,82,39,42,81,12,10,6,11,17,0,0,0,5,0,6,0,307,12.7,22,19,32,0.00,42,5,0,0,0,0,0,0,17:57,2:07,0:34,96,84,7,7.73,
Josh Bailey,NY Islanders,RW/LW,82,37,44,81,25,2,5,3,8,1,0,1,1,0,5,0,224,16.5,34,12,63,0.15,57,1,0,0,0,0,0,0,17:19,1:14,0:49,97,72,7,7.89,
Mike Hoffman,Colorado,LW/RW,75,36,45,81,46,4,3,8,11,0,0,0,5,0,5,0,349,10.3,46,10,28,0,24,2,0,0,0,0,0,0,16:07,2:44,0:01,94,48,5,8.04,
Jordan Eberle,Edmonton,RW,82,32,49,81,24,8,7,6,13,0,0,0,5,0,3,0,325,9.8,28,18,19,0.33,51,4,0,0,0,0,0,0,17:17,1:57,0:14,85,61,6,7.80,
Jakub Vrána,Washington,LW/RW,82,31,50,81,33,6,2,5,7,0,0,0,2,2,3,0,299,10.4,24,13,9,0.00,38,3,0,0,0,0,0,0,15:02,1:04,0:12,101,68,5,7.89,
Tomás Hertl,San Jose,C/LW,77,28,53,81,25,4,4,6,10,1,1,2,7,1,7,0,237,11.8,39,13,68,0.61,29,2,0,0,0,0,0,0,16:57,1:58,0:59,92,67,4,7.70,
Clayton Keller,Arizona,LW/RW/C,78,38,42,80,31,2,5,6,11,0,0,0,5,0,4,0,312,12.2,39,13,10,0.22,34,1,0,0,0,0,0,0,16:45,2:14,0:45,85,54,9,7.99,
Elias Pettersson,Vancouver,C/RW,77,38,42,80,26,2,9,8,17,0,0,0,9,0,6,0,205,18.5,19,12,43,0.47,48,1,0,0,0,0,0,0,17:10,2:23,0:44,92,66,4,7.30,
Jason Zucker,Minnesota,RW/LW,70,38,42,80,14,2,4,8,12,0,0,0,5,0,7,0,329,11.6,30,19,36,0,35,1,0,0,0,0,0,0,16:19,1:36,1:03,83,69,7,7.89,
