Name,Team,Pos,GP,G,A,P,PlusMinus,PIM,PPg,PPa,PPp,SHg,SHa,SHp,GWG,GT,FG,EN,SOG,Sh ,HT,GA,TA,FO,SB,2,5,Mi,Ma,GM,FI,FW,ATOI,APPT,APKT,+,-,FS,AvR,
Alexis Lafrenière,Vancouver,LW/C,82,59,71,130,90,4,5,7,12,0,0,0,9,0,7,0,475,12.4,38,18,48,0.00,38,2,0,0,0,0,0,0,16:35,1:15,0:01,157,67,16,8.73,
Vladimir Tarasenko,St. Louis,RW,82,74,49,123,67,6,17,4,21,0,1,1,11,0,9,0,496,14.9,65,11,66,0.00,34,3,0,0,0,0,0,0,17:44,2:02,1:11,137,70,16,8.38,
Nathan MacKinnon,Colorado,C,82,49,69,118,84,4,5,9,14,0,0,0,8,0,6,0,273,17.9,50,10,66,0.53,67,2,0,0,0,0,0,0,17:30,2:06,0:49,132,48,9,8.30,
Brock Boeser,Vancouver,RW,72,47,68,115,78,2,3,7,10,0,0,0,5,1,6,0,310,15.2,24,9,14,0,30,1,0,0,0,0,0,0,16:57,1:33,0:00,132,54,7,8.51,
Jack Eichel,Buffalo,C,79,55,59,114,52,8,4,9,13,1,2,3,8,0,9,0,339,16.2,22,13,85,0.49,79,4,0,0,0,0,0,0,17:22,1:33,1:12,120,68,9,7.95,
Gabriel Landeskog,Colorado,LW,82,36,74,110,85,9,6,9,15,2,0,2,7,0,5,0,390,9.2,68,20,118,0.11,64,2,1,0,0,0,1,0,17:35,2:08,0:55,127,42,10,8.57,
Mikko Rantanen,Colorado,RW,82,58,50,108,92,2,9,7,16,0,0,0,6,1,4,0,398,14.6,52,20,99,0.11,59,1,0,0,0,0,0,0,17:45,2:06,0:51,130,38,11,8.56,
Taylor Hall,St. Louis,LW,82,47,61,108,73,20,3,12,15,0,1,1,6,0,10,0,323,14.6,55,14,102,0.12,38,5,0,1,0,0,0,0,17:13,1:58,1:10,137,64,8,8.40,
David Pastrnák,Boston,RW,82,48,59,107,45,12,2,3,5,0,0,0,4,2,9,0,338,14.2,34,11,58,0.11,32,6,0,0,0,0,0,0,16:54,2:10,0:13,127,82,12,8.09,
Mark Scheifele,Los Angeles,C,82,45,62,107,50,6,2,15,17,1,0,1,4,0,4,0,219,20.5,45,12,159,0.57,46,3,0,0,0,0,0,0,17:22,2:22,0:55,118,68,9,8.01,
Ryan O'Reilly,St. Louis,C,75,27,78,105,63,4,1,12,13,2,1,3,2,0,6,0,188,14.4,23,12,101,0.61,35,2,0,0,0,0,0,0,16:24,1:58,0:37,124,61,5,8.11,
Rasmus Kupari,Los Angeles,C/RW,82,43,61,104,36,20,10,4,14,0,0,0,7,2,9,0,344,12.5,25,10,27,0.27,27,5,0,1,0,0,0,0,17:00,2:13,0:03,115,79,6,7.96,
Cam Atkinson,Columbus,RW,82,54,48,102,34,2,17,4,21,0,0,0,9,0,10,0,382,14.1,34,20,29,0.07,41,1,0,0,0,0,0,0,18:27,1:43,1:14,110,76,8,7.91,
Casey Mittelstadt,Carolina,C,82,49,53,102,29,10,7,5,12,0,0,0,3,0,2,0,322,15.2,39,20,14,0.49,33,5,0,0,0,0,0,0,16:24,1:54,0:18,113,84,7,7.88,
Nikita Kucherov,Buffalo,RW,82,40,62,102,58,0,9,10,19,2,0,2,5,0,5,0,229,17.5,28,22,80,0.17,65,0,0,0,0,0,0,0,17:52,1:27,1:21,126,68,8,8.10,
Mathew Barzal,NY Islanders,C,82,39,62,101,52,10,5,14,19,0,0,0,7,0,6,0,240,16.3,33,12,75,0.55,60,5,0,0,0,0,0,0,16:57,1:57,0:57,114,62,4,8.04,
Patrick Kane,Vancouver,RW,82,47,53,100,30,4,10,13,23,0,0,0,7,1,3,0,325,14.5,23,7,55,0.25,34,2,0,0,0,0,0,0,17:40,2:02,0:17,103,73,11,8.16,
Rickard Rakell,Pittsburgh,LW/C/RW,81,49,50,99,40,18,5,7,12,3,0,3,7,0,13,0,372,13.2,106,25,44,0.14,83,9,0,0,0,0,0,0,18:47,1:04,1:40,117,77,9,8.14,
Elias Pettersson,Vancouver,C/RW,82,40,59,99,59,16,6,10,16,2,0,2,7,0,6,0,257,15.6,17,12,102,0.46,50,8,0,0,0,0,0,0,17:45,1:46,0:34,113,54,5,7.55,
Andreas Athanasiou,St. Louis,C/LW/RW,82,39,60,99,42,10,5,8,13,0,0,0,2,0,5,0,290,13.4,26,10,68,0.47,30,5,0,0,0,0,0,0,15:42,1:02,0:35,110,68,0,7.61,
Tomás Tatár,Anaheim,LW/RW,80,47,51,98,25,8,5,6,11,0,0,0,3,2,3,0,355,13.2,33,10,15,0,56,4,0,0,0,0,0,0,17:50,2:13,0:04,113,88,6,8.09,
Jeff Skinner,Buffalo,LW,78,40,58,98,34,2,4,12,16,0,0,0,5,0,2,0,421,9.5,27,11,64,0.13,56,1,0,0,0,0,0,0,16:01,1:32,0:13,99,65,10,8.37,
Jake Guentzel,Pittsburgh,RW/LW/C,82,46,51,97,30,10,9,6,15,0,0,0,2,0,7,0,383,12.0,87,17,13,0.06,70,5,0,0,0,0,0,0,20:45,1:39,1:18,123,93,6,8.05,
Kasperi Kapanen,Toronto,RW/LW,82,45,52,97,42,6,5,0,5,4,0,4,8,2,5,0,405,11.1,86,18,13,0,29,3,0,0,0,0,0,0,17:14,0:52,1:44,120,78,9,8.12,
Filip Forsberg,Nashville,LW/RW,82,40,57,97,38,14,4,8,12,0,0,0,4,0,5,0,336,11.9,76,19,157,0.08,52,7,0,0,0,0,0,0,18:32,1:39,1:11,112,74,8,8.21,
Connor McDavid,Edmonton,C,82,46,50,96,52,8,5,11,16,2,0,2,8,0,6,0,262,17.6,28,25,134,0.48,141,4,0,0,0,0,0,0,19:01,1:49,1:40,109,57,10,7.66,
Auston Matthews,Toronto,C,82,46,50,96,43,10,9,6,15,1,3,4,6,0,6,0,295,15.6,35,20,116,0.52,38,5,0,0,0,0,0,0,17:44,2:04,1:24,105,62,6,7.77,
Tyler Seguin,Dallas,C/RW,80,39,57,96,28,38,3,11,14,1,0,1,3,1,5,0,274,14.2,58,15,69,0.53,55,19,0,0,0,0,0,0,18:03,1:12,2:06,95,67,10,7.82,
John Tavares,Toronto,C,82,36,60,96,29,10,1,5,6,0,4,4,3,0,6,0,310,11.6,130,11,37,0.57,51,5,0,0,0,0,0,0,18:22,2:10,2:00,116,87,7,8.06,
Lucas Raymond,NY Islanders,RW/LW,82,41,54,95,52,4,10,7,17,0,0,0,2,1,5,0,351,11.7,25,5,6,0,27,2,0,0,0,0,0,0,15:24,1:39,0:00,113,61,8,8.15,
